idx_code,idx_q,idx_m,idx_d,q_band,m_band,d_band,q_tag,m_tag,d_tag,label,short_desc,coach_tip
"[1,1,1]",1,1,1,low,low,low,Q-low,M-low,D-low,L-L-L | Q1-M1-D1,"Foundational craft, Insular market fit, Low creative tension.",invest in code review & templates; do 3 quick customer interviews; add healthy debate in planning.
"[1,1,2]",1,1,2,low,low,low,Q-low,M-low,D-low,L-L-L | Q1-M1-D2,"Foundational craft, Insular market fit, Low creative tension.",invest in code review & templates; do 3 quick customer interviews; add healthy debate in planning.
"[1,1,3]",1,1,3,low,low,mid-low,Q-low,M-low,D↗,L-L-ML | Q1-M1-D3,"Foundational craft, Insular market fit, Focused tension.",invest in code review & templates; do 3 quick customer interviews.
"[1,1,4]",1,1,4,low,low,balanced,Q-low,M-low,D= ,L-L-C | Q1-M1-D4,"Foundational craft, Insular market fit, Balanced tension.",invest in code review & templates; do 3 quick customer interviews.
"[1,1,5]",1,1,5,low,low,mid-high,Q-low,M-low,D↘,L-L-MH | Q1-M1-D5,"Foundational craft, Insular market fit, High strategic tension.",invest in code review & templates; do 3 quick customer interviews; resolve two biggest contradictions.
"[1,1,6]",1,1,6,low,low,high,Q-low,M-low,D⇈,L-L-H | Q1-M1-D6,"Foundational craft, Insular market fit, High strategic tension.",invest in code review & templates; do 3 quick customer interviews; resolve two biggest contradictions.
"[1,1,7]",1,1,7,low,low,high,Q-low,M-low,D⇈,L-L-H | Q1-M1-D7,"Foundational craft, Insular market fit, High strategic tension.",invest in code review & templates; do 3 quick customer interviews; resolve two biggest contradictions.
"[1,1,8]",1,1,8,low,low,high,Q-low,M-low,D⇈,L-L-H | Q1-M1-D8,"Foundational craft, Insular market fit, High strategic tension.",invest in code review & templates; do 3 quick customer interviews; resolve two biggest contradictions.
"[1,2,1]",1,2,1,low,low,low,Q-low,M-low,D-low,L-L-L | Q1-M2-D1,"Foundational craft, Insular market fit, Low creative tension.",invest in code review & templates; do 3 quick customer interviews; add healthy debate in planning.
"[1,2,2]",1,2,2,low,low,low,Q-low,M-low,D-low,L-L-L | Q1-M2-D2,"Foundational craft, Insular market fit, Low creative tension.",invest in code review & templates; do 3 quick customer interviews; add healthy debate in planning.
"[1,2,3]",1,2,3,low,low,mid-low,Q-low,M-low,D↗,L-L-ML | Q1-M2-D3,"Foundational craft, Insular market fit, Focused tension.",invest in code review & templates; do 3 quick customer interviews.
"[1,2,4]",1,2,4,low,low,balanced,Q-low,M-low,D= ,L-L-C | Q1-M2-D4,"Foundational craft, Insular market fit, Balanced tension.",invest in code review & templates; do 3 quick customer interviews.
"[1,2,5]",1,2,5,low,low,mid-high,Q-low,M-low,D↘,L-L-MH | Q1-M2-D5,"Foundational craft, Insular market fit, High strategic tension.",invest in code review & templates; do 3 quick customer interviews; resolve two biggest contradictions.
"[1,2,6]",1,2,6,low,low,high,Q-low,M-low,D⇈,L-L-H | Q1-M2-D6,"Foundational craft, Insular market fit, High strategic tension.",invest in code review & templates; do 3 quick customer interviews; resolve two biggest contradictions.
"[1,2,7]",1,2,7,low,low,high,Q-low,M-low,D⇈,L-L-H | Q1-M2-D7,"Foundational craft, Insular market fit, High strategic tension.",invest in code review & templates; do 3 quick customer interviews; resolve two biggest contradictions.
"[1,2,8]",1,2,8,low,low,high,Q-low,M-low,D⇈,L-L-H | Q1-M2-D8,"Foundational craft, Insular market fit, High strategic tension.",invest in code review & templates; do 3 quick customer interviews; resolve two biggest contradictions.
"[1,3,1]",1,3,1,low,mid-low,low,Q-low,M↗,D-low,L-ML-L | Q1-M3-D1,"Foundational craft, Emerging market pull, Low creative tension.",invest in code review & templates; add healthy debate in planning.
